--- CORTEX SESSION START ---
--- CORTEX SESSION START ---
POS: '544 288 33'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '544 288 28.03125'
POS: '540.402588 294.364532 28.03125'
POS: '524.437012 323.013916 28.03125'
POS: '507.298523 354.544128 25.9756927'
POS: '490.793518 387.149597 24.03125'
POS: '479.05896 420.226532 24.03125'
POS: '471.681488 442.046356 24.03125'
POS: '467.124847 455.523224 24.03125'
POS: '464.25061 464.0242 24.03125'
POS: '462.322296 469.727417 18.6335964'
POS: '460.378174 475.477417 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
POS: '459.538147 477.961914 8.03125'
